Comments,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth (MCD) (CCSF),Depth comp [mcd] (two-site composite (Depth CCS...),Ca_Area,Ca_Area_corrected,Fe_Area,Fe_Area_corrected,Al_Area,Al_Area_corrected,Al_ DArea,Si_Area,Si_Area_corrected,Si_ DArea,P_Area,P_ DArea,S_Area,S_ DArea,Cl_Area,Cl_Area_corrected,Cl_ DArea,Ar_Area,Ar_ DArea,K_Area,K_Area_corrected,K_ DArea,Ca_ DArea,Ti_Area,Ti_Area_corrected,Ti_ DArea,Cr_Area,Cr_ DArea,Mn_Area,Mn_Area_corrected,Mn_ DArea,Fe_ DArea,Rh_Area,Rh_Area_corrected,Rh_ DArea,Ba_Area,Ba_ DArea
,342,U1408,C,4,H,3,1360,,25.66,27.96,28.92,710212,710212,534920,534920,34183,34183,8,326082,326082,19,-135,6,6601,7,128825,,17,-17230,11,155757,,17,29,53697,53697,12,2083,10,1301,,11,25,118326,,18,3357,8
,342,U1408,C,4,H,3,1380,,25.68,27.98,28.94,695927,695927,524004,524004,30722,30722,8,308699,308699,19,-801,6,7312,7,132645,,17,-17669,11,151979,,17,28,50176,50176,12,1157,10,1571,,11,25,120792,,18,2835,8
,342,U1408,C,4,H,3,1400,,25.7,28,28.96,609982,609982,533876,533876,32148,32148,8,318077,318077,19,-357,6,6904,7,132229,,17,-17446,11,163994,,17,27,53264,53264,12,1905,10,2068,,11,25,123827,,19,3035,8
,342,U1408,C,4,H,3,1420,,25.72,28.02,28.98,649497,649497,515705,515705,30994,30994,8,318712,318712,19,-428,6,6581,7,133501,,17,-16758,11,161067,,17,28,52830,52830,12,1592,10,1534,,11,25,121075,,19,2466,8
,342,U1408,C,4,H,3,1440,,25.74,28.04,29.00,489656,489656,502050,502050,31421,31421,8,356011,356011,20,-331,6,7438,7,127492,,17,-17867,11,158153,,17,25,52218,52218,12,20,10,1336,,11,25,118836,,18,1847,8
,342,U1408,C,4,H,3,1460,,25.76,28.06,29.02,478289,478289,438818,438818,25927,25927,7,266886,266886,17,-457,5,6142,7,113006,,16,-15223,10,137907,,16,24,44224,44224,11,852,10,485,,10,23,106207,,17,1767,7
,342,U1408,C,4,H,3,1480,,25.78,28.08,29.04,608761,608761,472115,472115,28243,28243,8,292156,292156,18,-346,6,6873,7,128044,,17,-17064,11,152125,,17,27,47368,47368,11,635,10,1475,,10,24,116186,,18,2113,7
,342,U1408,C,4,H,4,20,,25.82,28.12,29.06,502201,502201,498533,498533,28289,28289,8,289189,289189,18,-97,5,5164,7,118518,,17,-18129,11,155427,,17,25,44264,44264,11,896,10,1366,,10,24,117311,,18,2048,7
,342,U1408,C,4,H,4,40,,25.84,28.14,29.08,534288,534288,473370,473370,30182,30182,8,297076,297076,18,-210,5,5346,7,118490,,17,-17780,11,166954,,17,25,46438,46438,11,250,10,859,,10,24,118107,,18,2432,7
,342,U1408,C,4,H,4,60,,25.86,28.16,29.10,549413,549413,461157,461157,31948,31948,8,311483,311483,19,-472,6,6324,7,116179,,17,-16628,11,173582,,17,26,47906,47906,11,575,10,1138,,10,24,117494,,18,2092,7
,342,U1408,C,4,H,4,80,,25.88,28.18,29.12,682515,682515,447023,447023,28899,28899,8,291419,291419,18,-691,6,5081,7,114797,,17,-16759,11,149612,,17,28,45612,45612,11,2293,10,1325,,10,23,120365,,18,2598,7
